a	better user experience
a.1	easier to use
a.1.1	more accurate scanning
a.1.2	easy to see
a.1.3	easy to reach
a.1.4	card convenient and likely to be carried
a.2	use the same access control for library entrance
a.3	all in 1 card
a.3.1	combine ID card and session card
a.3.2	combine Library card
a.3.3	combine Bloomsbury fitness card
a.3.4	combine Club and societies card
a.3.5	be compatible with NHS
a.3.6	the combine card should not have too many features (don't want it to become too valuable to change for locker keys)
b	card design
b.1	card to include user details
b.1.1	card to include name
b.1.2	card to include photo
b.1.3	card to include UPI
b.1.4	card design to include card type/user status
b.1.5	card to include payroll number
b.1.6	card to include job title
b.1.7	card to include expiry date
b.1.8	card to include department
b.1.9	card to include student number
b.2	card to include barcode
b.2.1	Easier reading of barcode by scanner
b.3	card should be secure
b.3.1	card not easily copied
b.3.2	card should have features that prevent sharing
b.3.3	card to include pin
b.3.4	card should have multiple security feature
b.4	card to include ucl branding
b.5	easy identification/card is clear looking
b.6	card should be sturdy/robust
b.6.1	card should lasts for 5 or more years
b.7	card should be attractive
c	to improve security and access control in UCL
c.1	ensure appropriate access for each individual
c.1.1	must stop at the end of the last day of service
c.1.2	must work until the last day of service
c.2	control access to ucl buildings
c.2.1	control access to departments
c.2.2	control access to library
c.2.3	control access to Bloomsbury
c.2.4	to access Kathleen Lonsdale
c.2.5	control access to departmental offices
c.2.6	control access to private offices
c.2.7	control access to high hazard area
c.2.8	control access to computer cluster
c.2.9	control access to rooms
c.2.10	control access to exam venues
c.3	enable visual checking
c.3.1	enable photo visual checks
c.3.2	visual checking cardholder's role
c.4	access control to include movement tracking/logs
c.4.1	movement tracking in buildings other than library
c.4.2	movement tracking/logs in the library
c.4.3	enable alumni tracking
c.4.4	use card to mark attendance
c.4.5	clocking in and out
c.4.6	clear policies on movement tracking/logs
c.5	increase access control to buildings
c.5.1	easy to install new readers
d	improve processes
d.1	faster issue of cards
d.1.1	fast production of cards
d.1.2	many issue points
d.2	reduce queuing time
d.2.1	staff do not go to HR for cards
d.2.2	distance arrangements for preparation of cards
d.2.3	appointment system to reduce queuing time
d.3	ID card status: Ability to check if a user has collected an ID card
d.4	easy to replace lost cards
d.4.1	ucl shop to handle lost cards
d.5	granting access rights
d.5.1	view and modify access rights, time of access, online, without card being present
d.5.2	activate and inactivate card
d.5.3	role-based method to grant access rights
d.5.4	close to real time update
d.5.5	reminders of access end dates
d.6	able to create access reports
d.7	procedures for dealing with fraud
e	reduce cost
e.1	save money on cards
e.1.1	no longer require MRM smart cards
e.1.2	cheap x 10p item
e.1.3	card is reusable/recyclable
e.2	save processing time
e.3	reduce paper trials
f	compatible with existing administrative systems
f.1	compatible with Bloomsbury system (Gladstone MRM)
f.2	compatible with library systems
f.2.1	compatible with library barcode
f.2.2	compatible with library management system
f.3	compatible with HR system
f.4	compatible with UPI
f.4.1	map user identity to UPI (INCLUDING group memberships and roles)
f.5	compatible with current network infrastructure
f.6	impact to other systems
f.6.1	UPI
f.6.2	portico
f.6.3	does not interface with HR directly
g	better data quality
g.1	centralised management of access and identification information
g.1.1	card must have unique id
g.1.2	data should not be duplicated
g.2	export data to other systems
g.2.1	export data to student system
g.2.2	export data to library (access card changes, leavers, barcode)
g.2.3	export data to staff system
g.3	import data from other systems
g.3.1	import data from staff and student systems
g.3.2	import photo from registry
g.4	data access: able to view, update, delete remotely and securely
g.4.1	able to view data from any computer
g.4.2	update/delete data
g.4.3	enter data
g.4.4	authorised access with firewalls and time limitations
g.4.5	ensure secure data storage
g.5	clear policies on use of access data
h	extensible for future features
h.1	include digital certificate
h.2	include payment mechanism
h.2.1	use as bank card
h.2.2	combine with photocopy card
h.2.3	used for cashless vending
h.2.4	oyster card
h.3	used for computer logon
h.4	upgradable (software revisions)
h.5	increase security
h.5.1	thumb reader
i	project delivery activities
i.1	supplier support
i.1.1	5 years minimum
i.1.2	Support virtual machine environment
i.1.3	card readers
i.1.4	card printers
i.2	technical documents
i.2.1	all software
i.2.2	business rules document
i.2.3	requirements document
i.2.4	design document
i.2.5	documented processes of dependent systems
i.2.6	technical document for upi
i.3	project management activities
i.3.1	requirements management
i.3.2	change management
i.3.3	quality management
i.3.4	budget management
i.3.5	development
i.3.6	maintenance
j	technical constraints
j.1	fail safe
j.1.1	failure does not restrict access
j.1.2	safe in case of power failure
j.2	conform to standards and legislations
j.2.1	technical architecture standards
j.2.2	management system standards
j.2.3	security standards
j.2.4	health and safety legislations
j.3	technology
j.3.1	no change to existing technology approach
j.3.2	smart card technology
j.3.3	not constrained by card solution
j.3.4	card printers technology
j.4	lifecycle
j.4.1	5 years
j.5	reliable
j.5.1	antivirus
j.5.2	reliable such that people can open doors
j.5.3	software interface
j.5.4	continue operation
j.5.5	secure network
j.6	available
j.6.1	server software run in a virtual machine environme
j.6.2	working without interruption for 100 days
j.6.3	data backup
j.6.4	switch to standby system in the event of a hardware fail
j.7	network infrastructure
j.7.1	cabling
j.7.2	landswitch
j.8	be capable of having direct printing to both sides of the card, which will include the library barcode
j.9	the chosen manufacturer must have a proven tracker record within Institutions with Access Control, ID Pass Production, ODBC, Smart Card technologies.
j.10	photo ID Pass Software must be an embedded feature of the Access control Software and only require software/licence upgrades.
j.11	The system manufacturer MUST be a Microsoft™ Certified Partner.
j.12	the system MUST utilise Microsoft™ Windows 2000 and/or XP Operating System.
j.13	the Database platform MUST support Microsoft™ SQL Server and/or Oracle Server.
